"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"CADI6","","CADI6","Carex disperma","softleaf sedge","NA (L48, AK, CAN, GL, SPM)","Monocot","Spring and Summer","Green","Green","Brown","Stoloniferous","Moderate","","2.0","Moderate","Semi-Erect","None","No","Yes","Yes","Low","High","4.5","6.5","8","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
"CAFL3","","CAFL3","Carex flaccosperma","thinfruit sedge","NA (L48)","Monocot","Spring and Summer","Green","Gray-Green","Brown","Bunch","Slow","","1.0","Long","Erect","None","No","Yes","Yes","Low","High","4.6","7.1","8","Tolerant","-8","Late Spring","Routinely Available","No","Low","No"
"CAFR3","","CAFR3","Carex frankii","Frank's sedge","NA (L48, CAN)","Monocot","Spring, Summer, Fall","Green","Green","Brown","Rhizomatous","Slow","","2.0","Long","Erect","None","No","Yes","Yes","Low","High","5.9","7.2","9","Tolerant","-23","Late Spring","Routinely Available","No","Low","No"
"CAGR2","","CAGR2","Carex gracillima","graceful sedge","NA (L48, CAN, SPM)","Monocot","Spring and Summer","Green","Dark Green","Brown","Bunch","Slow","","3.0","Long","Semi-Erect","None","No","Yes","Yes","Low","Medium","4.7","6.9","8","Tolerant","-33","Late Spring","Routinely Available","No","Low","No"
"CAGR3","","CAGR3","Carex granularis","limestone meadow sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Slow","","2.5","Long","Erect","None","No","Yes","Yes","Low","High","6.0","7.2","8","Tolerant","-33","Mid Spring","Routinely Available","No","Low","No"
"CAGR5","","CAGR5","Carex grayi","Gray's sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Slow","","3.0","Long","Erect","None","No","Yes","Yes","Low","High","5.7","7.2","8","Tolerant","-33","Late Spring","Routinely Available","No","Low","No"
"CAIN12","","CAIN12","Carex intumescens","greater bladder sedge","NA (L48, CAN, SPM)","Monocot","Spring, Summer, Fall","Green","Dark Green","Brown","Bunch","Moderate","","3.0","Moderate","Erect","None","No","Yes","Yes","None","High","4.8","6.9","8","Tolerant","-33","Late Spring","Routinely Available","No","Low","No"
"CALA16","","CALA16","Carex lacustris","hairy sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Rapid","","5.0","Long","Erect","None","No","Yes","Yes","None","High","5.6","6.8","12","Tolerant","-28","Late Spring","Routinely Available","No","Low","No"
"CALU4","","CALU4","Carex lupulina","hop sedge","NA (L48, CAN)","Monocot","Spring","Green","Green","Yellow","Bunch","Moderate","","4.3","Long","Erect","None","No","Yes","Yes","Low","Medium","6.2","7.0","18","Intermediate","-38","Spring","Routinely Available","No","Medium","No"
"CALU5","","CALU5","Carex lurida","shallow sedge","NA (L48, CAN)","Monocot","Spring","Green","Green","Yellow","Bunch","Moderate","","3.2","Long","Erect","None","Yes","Yes","Yes","Low","Medium","4.9","6.8","16","Intermediate","-33","Spring","Routinely Available","No","Medium","No"
"CAMI7","","CAMI7","Carex microptera","smallwing sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Slow","","2.0","Long","Erect","None","Yes","Yes","No","None","High","5.6","7.4","8","Intolerant","-33","Late Spring","Routinely Available","No","Low","No"
"CAMO11","","CAMO11","Carex molesta","troublesome sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Slow","","3.0","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","4.9","7.0","10","Intolerant","-38","Late Spring","Routinely Available","No","Low","No"
"CAMU9","","CAMU9","Carex muskingumensis","Muskingum sedge","NA (L48, CAN)","Monocot","Spring, Summer, Fall","Green","Green","Brown","Bunch","Slow","","3.0","Moderate","Erect","None","No","Yes","Yes","None","High","4.7","6.9","8","Tolerant","-33","Late Spring","Routinely Available","No","Low","No"
"CANE2","","CANE2","Carex nebrascensis","Nebraska sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Gray-Green","Brown","Rhizomatous","Moderate","","3.0","Long","Erect","None","Yes","Yes","Yes","None","High","5.7","7.4","10","Intolerant","-38","Late Spring","Routinely Available","No","Low","No"
"CANO","","CANO","Carex normalis","greater straw sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Rapid","","5.0","Long","Erect","None","No","Yes","Yes","None","High","4.7","6.7","12","Tolerant","-33","Late Spring","Routinely Available","No","Low","No"
"CAOB3","","CAOB3","Carex obnupta","slough sedge","NA (L48, CAN)","Monocot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Rapid","","3.0","Moderate","Erect","None","No","Yes","Yes","Low","High","5.5","7.0","12","Intermediate","-3","Mid Spring","Routinely Available","No","Low","No"
"CAPR5","","CAPR5","Carex praegracilis","clustered field sedge","NA (L48, AK, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Moderate","","2.0","Long","Erect","None","Yes","Yes","Yes","Low","Medium","5.3","6.8","10","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
"CAPR12","","CAPR12","Carex prasina","drooping sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Moderate","","2.3","Moderate","Semi-Erect","None","No","Yes","Yes","Low","Medium","4.8","6.8","8","Tolerant","-28","Late Spring","Routinely Available","No","Low","No"
"CAPR9","","CAPR9","Carex projecta","necklace sedge","NA (L48, CAN)","Monocot","Spring, Summer, Fall","Green","Green","Brown","Bunch","Slow","","2.0","Moderate","Erect","None","No","Yes","Yes","None","Medium","4.8","7.0","8","Tolerant","-33","Late Spring","Routinely Available","No","Low","No"
"CARO6","","CARO6","Carex rostrata","beaked sedge","NA (L48, AK, CAN, GL)","Monocot","Spring and Summer","Brown","Green","Brown","Rhizomatous","Moderate","","3.5","Moderate","Erect","None","No","Yes","Yes","Low","High","4.5","7.0","16","Tolerant","-38","Late Spring","Routinely Available","No","Low","No"
"CASC11","","CASC11","Carex scoparia","broom sedge","NA (L48, CAN, SPM)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Moderate","","2.5","Long","Erect","None","No","Yes","Yes","None","High","4.6","6.9","8","Tolerant","-38","Late Spring","Routinely Available","No","Low","No"
"CASC12","","CASC12","Carex scopulorum","mountain sedge","NA (L48, CAN)","Monocot","Spring and Summer","Purple","Green","Brown","Rhizomatous","Moderate","","1.3","Moderate","Erect","None","Yes","Yes","Yes","Low","High","6.8","7.5","8","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
"CASH2","","CASH2","Carex shortiana","Short's sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Moderate","","3.0","Long","Erect","None","No","Yes","Yes","None","High","4.7","6.9","8","Intermediate","-18","Late Spring","Routinely Available","No","Low","No"
"CASI2","","CASI2","Carex simulata","analogue sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Slow","","1.5","Moderate","Erect","None","Yes","Yes","No","Low","High","6.0","7.5","10","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
