"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"ABGR4","","ABGR4","Abelia ×grandiflora","glossy abelia","NA (L48)","Dicot","Spring and Summer","Purple","Dark Green","Brown","Multiple Stem","Rapid","6","6.0","Moderate","Semi-Erect","None","Yes","Yes","No","Medium","Medium","5.7","7.0","12","Tolerant","-13","Late Summer","Routinely Available","Yes","","No"
"ABAM","","ABAM","Abies amabilis","Pacific silver fir","NA (L48, AK, CAN)","Gymnosperm","Spring and Summer","Yellow","Gray-Green","Brown","Single Stem","Slow","20","165","Long","Erect","None","Yes","Yes","Yes","Low","Medium","3.3","6.0","36","Tolerant","-28","Late Spring","Routinely Available","Yes","Low","No"
"ABBA","","ABBA","Abies balsamea","balsam fir","NA (L48, CAN, SPM)","Gymnosperm","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","18","60","Short","Conical","None","Yes","Yes","Yes","Low","Medium","4.0","6.0","20","Tolerant","-43","Mid Summer","Routinely Available","Yes","Low","No"
"ABCO","","ABCO","Abies concolor","white fir","NA (L48)","Gymnosperm","Spring and Summer","Red","Green","Brown","Single Stem","Slow","20","120","Long","Conical","None","Yes","Yes","No","Medium","Medium","5.5","7.8","40","Intermediate","-38","Late Spring","Routinely Available","Yes","Medium","No"
"ABFR","","ABFR","Abies fraseri","Fraser fir","NA (L48)","Gymnosperm","Spring and Summer","Purple","Dark Green","Brown","Single Stem","Moderate","20","55","Moderate","Erect","None","Yes","Yes","No","Low","Medium","3.5","5.5","6","Tolerant","-23","Mid Spring","Routinely Available","Yes","Medium","No"
"ABLA","","ABLA","Abies lasiocarpa","subalpine fir","NA (L48, AK, CAN)","Gymnosperm","Spring and Summer","","Green","Brown","Single Stem","Slow","15","90","Long","Conical","None","Yes","Yes","No","Low","Medium","4.0","6.5","40","Tolerant","-51","Late Spring","Routinely Available","Yes","Low","No"
"ACKO","","ACKO","Acacia koa","koa","HI","Dicot","Year Round","Yellow","Green","Brown","Single Stem","Moderate","100","110","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","5.0","7.0","30","Intolerant","31","Spring","Routinely Available","Yes","Medium","No"
"ACLO","","ACLO","Acacia longifolia","Sydney golden wattle","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Rapid","20","20","Short","Semi-Erect","None","Yes","Yes","Yes","High","Medium","6.0","8.3","24","Intolerant","14","Summer","Routinely Available","Yes","Medium","No"
"ACGI","","ACGI","Acer ginnala","Amur maple","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Rapid","15","20","Moderate","Rounded","None","Yes","Yes","No","Low","Medium","6.1","7.5","24","Intermediate","-38","Mid Spring","Routinely Available","Yes","Low","No"
"ACGL","","ACGL","Acer glabrum","Rocky Mountain maple","NA (L48, AK, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Multiple Stem","Rapid","15","30","Moderate","Erect","None","Yes","Yes","No","Medium","Low","5.8","7.5","24","Intermediate","-43","Late Spring","Routinely Available","Yes","Low","No"
"ACGR3","","ACGR3","Acer grandidentatum","bigtooth maple","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","20","38","Short","Erect","None","Yes","Yes","Yes","Low","Medium","6.0","8.0","24","Intermediate","-31","Spring","Routinely Available","Yes","Low","No"
"ACNE2","","ACNE2","Acer negundo","boxelder","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Rapid","35","60","Short","Erect","None","Yes","Yes","Yes","High","Medium","5.0","7.8","40","Tolerant","-46","Early Spring","Routinely Available","Yes","Low","Yes"
"ACPL","","ACPL","Acer platanoides","Norway maple","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Single Stem","Rapid","25","50","Moderate","Rounded","None","No","Yes","No","Low","Medium","4.8","7.2","40","Intermediate","-28","Early Spring","Routinely Available","Yes","Low","No"
"ACRU","","ACRU","Acer rubrum","red maple","NA (L48, CAN)","Dicot","Spring and Summer","Red","Green","Red","Single Stem","Rapid","35","68","Short","Rounded","Slight","Yes","Yes","Yes","Medium","High","4.7","7.3","30","Intermediate","-47","Early Spring","Routinely Available","Yes","Medium","Yes"
"ACSA2","","ACSA2","Acer saccharinum","silver maple","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","45","90","Moderate","Rounded","None","Yes","Yes","Yes","Low","Medium","4.0","7.3","32","Intermediate","-47","Early Spring","Routinely Available","Yes","Low","Yes"
"ACSA3","","ACSA3","Acer saccharum","sugar maple","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Single Stem","Slow","20","100","Long","Erect","None","Yes","Yes","No","Medium","Medium","3.7","7.9","40","Tolerant","-47","Mid Spring","Routinely Available","Yes","High","Yes"
"ACMI2","","ACMI2","Achillea millefolium","common yarrow","NA (L48, AK, CAN, GL, SPM), HI","Dicot","Spring","White","Green","Brown","Rhizomatous","Moderate","","3.0","Moderate","Erect","Slight","No","Yes","No","Medium","Medium","6.0","8.0","8","Intermediate","-38","Early Summer","Routinely Available","Yes","Low","No"
"ACMIO","","ACMIO","Achillea millefolium var. occidentalis","western yarrow","NA (L48, AK, CAN, GL, SPM)","Dicot","Spring","White","Green","Brown","Rhizomatous","Moderate","","3.0","Moderate","Erect","Slight","Yes","Yes","No","Medium","Medium","6.0","8.0","8","Intermediate","-38","Late Spring","Routinely Available","No","High","No"
"ACHY","","ACHY","Achnatherum hymenoides","Indian ricegrass","NA (L48, CAN)","Monocot","Spring, Summer, Fall","Yellow","Green","Brown","Bunch","Moderate","","2.0","Short","Erect","None","Yes","Yes","No","High","Low","6.6","8.6","18","Intolerant","-43","Late Spring","Routinely Available","No","High","No"
"ACCO4","","ACCO4","Aconitum columbianum","Columbian monkshood","NA (L48, CAN)","Dicot","Spring and Summer","Blue","Green","Black","Single Crown","Moderate","","5.0","Moderate","Erect","Moderate","Yes","Yes","Yes","Low","High","5.4","7.2","10","Intermediate","-28","Early Summer","Routinely Available","Yes","Medium","No"
"ACAM","","ACAM","Acorus americanus","sweetflag","NA (L48, AK, CAN)","Monocot","Spring and Summer","Yellow","Green","Green","Rhizomatous","Moderate","","3.9","Moderate","Erect","None","No","Yes","Yes","None","High","5.6","7.2","10","Intolerant","-38","Late Spring","Routinely Available","No","High","No"
"ACCA4","","ACCA4","Acorus calamus","calamus","NA (L48, CAN)","Monocot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Moderate","","5.0","Moderate","Semi-Erect","None","Yes","Yes","No","None","High","5.2","7.2","12","Intolerant","-38","Late Spring","Routinely Available","Yes","Low","No"
"ADCA","","ADCA","Adiantum capillus-veneris","common maidenhair","NA (L48, CAN), HI, PR","Fern","Spring and Summer","White","Green","Brown","Rhizomatous","Moderate","","1.7","Moderate","Erect","None","No","Yes","Yes","None","High","6.0","8.0","2","Tolerant","-33","Summer","Routinely Available","No","Medium","No"
"AEGL","","AEGL","Aesculus glabra","Ohio buckeye","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Single Stem","Rapid","25","68","Short","Erect","Severe","No","Yes","Yes","Medium","Medium","5.0","7.1","36","Tolerant","-33","Mid Spring","Routinely Available","Yes","High","No"
"AGDE2","","AGDE2","Agropyron desertorum","desert wheatgrass","NA (L48)","Monocot","Spring and Fall","Yellow","Green","Brown","Bunch","Moderate","","2.0","Long","Erect","None","No","Yes","Yes","High","Medium","6.0","8.5","10","Intolerant","-43","Early Spring","Routinely Available","No","High","No"
"AGFR","","AGFR","Agropyron fragile","Siberian wheatgrass","NA (L48, CAN)","Monocot","Spring and Fall","Yellow","Green","Brown","Bunch","Rapid","","3.0","Long","Erect","None","Yes","Yes","No","High","Low","5.6","9.0","10","Intolerant","-43","Mid Spring","Routinely Available","No","High","No"
"AGCA4","","AGCA4","Agrostis canina","velvet bentgrass","NA (L48, CAN, GL, SPM), HI","Monocot","Spring and Summer","Brown","Green","Yellow","Stoloniferous","Moderate","","1.5","Moderate","Erect","None","Yes","Yes","No","Low","High","5.0","7.5","10","Intolerant","-33","Mid Spring","Routinely Available","No","Medium","No"
"AGCA5","","AGCA5","Agrostis capillaris","colonial bentgrass","NA (L48, AK, CAN, GL, SPM), HI","Monocot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Rapid","","2.0","Short","Erect","None","Yes","Yes","No","Low","High","4.9","7.5","12","Intolerant","-53","Mid Summer","Routinely Available","No","High","No"
"AGGI2","","AGGI2","Agrostis gigantea","redtop","NA (L48, AK, CAN, GL)","Monocot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Rapid","","2.0","Short","Decumbent","None","No","Yes","Yes","Low","Medium","4.5","8.0","14","Intolerant","-38","Mid Spring","Routinely Available","No","High","No"
"AGHY","","AGHY","Agrostis hyemalis","winter bentgrass","NA (L48, CAN), PR","Monocot","Spring, Summer, Fall","Green","Green","Brown","Bunch","Moderate","","3.5","Short","Erect","None","No","Yes","Yes","Low","High","5.0","7.5","8","Intermediate","-33","Mid Spring","Routinely Available","No","Low","No"
"AGST2","","AGST2","Agrostis stolonifera","creeping bentgrass","NA (L48, AK, CAN, GL, SPM), HI","Monocot","Spring and Summer","Purple","Green","Brown","Stoloniferous","Rapid","","2.0","Short","Erect","None","No","Yes","Yes","Low","High","5.1","7.5","12","Intolerant","-53","Mid Summer","Routinely Available","No","Medium","No"
"AIAL","","AIAL","Ailanthus altissima","tree of heaven","NA (L48, CAN), HI","Dicot","Spring and Summer","Green","Green","Yellow","Single Stem","Rapid","50","55","Short","Rounded","Moderate","Yes","Yes","Yes","Medium","Medium","4.1","7.9","30","Intolerant","-18","Late Spring","Routinely Available","Yes","High","No"
"AJRE","","AJRE","Ajuga reptans","common bugle","NA (L48, CAN)","Dicot","Spring, Summer, Fall","Blue","Green","","Stoloniferous","Rapid","","0.3","Moderate","Prostrate","None","No","Yes","Yes","Medium","High","5.5","7.5","10","Tolerant","-23","Mid Summer","Routinely Available","Yes","","No"
"ALJU","","ALJU","Albizia julibrissin","silktree","NA (L48)","Dicot","Spring and Summer","White","White-Gray","Brown","Single Stem","Rapid","20","20","Short","Erect","None","Yes","Yes","Yes","Medium","Medium","4.8","7.3","30","Intolerant","2","Mid Summer","Routinely Available","Yes","High","No"
"ALMO","","ALMO","Aleurites moluccanus","Indian walnut","NA (L48), HI, PR, VI","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALMO","ALMO2","ALMO2","Aleurites moluccana","","","","Year Round","White","Gray-Green","Black","Single Stem","Moderate","50","50","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","5.5","7.0","36","Intermediate","49","Spring","Routinely Available","Yes","Medium","Yes"
"ALPL","","ALPL","Alisma plantago-aquatica","European water plantain","NA (L48, AK)","Monocot","Spring and Fall","White","Green","Yellow","Bunch","Moderate","","3.0","Moderate","Erect","None","No","No","Yes","None","High","6.3","7.5","16","Intolerant","-33","Fall","Routinely Available","No","Medium","No"
"ALSU","","ALSU","Alisma subcordatum","American water plantain","NA (L48, CAN)","Monocot","Spring and Summer","White","Green","Brown","Single Crown","Moderate","","0.5","Moderate","Erect","None","No","Yes","Yes","None","High","5.0","7.0","8","Intolerant","-33","Late Spring","Routinely Available","No","Medium","No"
"ALGL2","","ALGL2","Alnus glutinosa","European alder","NA (L48, CAN)","Dicot","Spring and Summer","Purple","Green","Brown","Multiple Stem","Rapid","40","45","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","4.4","7.2","16","Intermediate","-18","Mid Spring","Routinely Available","Yes","Low","No"
"ALIN2","","ALIN2","Alnus incana","gray alder","NA (L48, AK, CAN, SPM)","Dicot","Spring and Summer","","Green","Brown","Thicket Forming","Rapid","15","25","Short","Erect","None","Yes","Yes","Yes","Low","High","5.0","7.0","24","Intermediate","-33","Spring","Routinely Available","Yes","Low","No"
"ALINR","","ALINR","Alnus incana ssp. rugosa","speckled alder","NA (L48, CAN, SPM)","Dicot","Spring and Summer","Yellow","Dark Green","Brown","Multiple Stem","Moderate","16","16","Long","Semi-Erect","None","No","Yes","Yes","Low","Medium","4.8","7.7","24","Intermediate","-47","Early Spring","Routinely Available","Yes","Low","No"
"ALINT","","ALINT","Alnus incana ssp. tenuifolia","thinleaf alder","NA (L48, AK, CAN)","Dicot","Spring and Summer","Purple","Dark Green","Brown","Thicket Forming","Rapid","20","20","Moderate","Erect","None","Yes","Yes","No","Low","High","5.5","7.0","18","Intermediate","-62","Early Spring","Routinely Available","Yes","Medium","No"
"ALMA7","","ALMA7","Alnus maritima","seaside alder","NA (L48)","Dicot","Spring and Summer","","Green","Brown","Single Stem","Moderate","20","30","Moderate","Erect","None","Yes","Yes","Yes","Low","High","5.0","7.0","20","Intermediate","2","Late Summer","Routinely Available","Yes","Low","No"
"ALRH2","","ALRH2","Alnus rhombifolia","white alder","NA (L48)","Dicot","Spring and Summer","Green","Green","Brown","Multiple Stem","Rapid","50","65","Long","Erect","None","Yes","Yes","Yes","Low","High","4.8","7.5","12","Tolerant","-24","Fall","Routinely Available","Yes","High","No"
"ALRU2","","ALRU2","Alnus rubra","red alder","NA (L48, AK, CAN)","Dicot","Spring, Summer, Fall","Red","Green","Brown","Single Stem","Rapid","50","90","Short","Erect","None","Yes","Yes","Yes","Medium","High","4.3","7.3","25","Intolerant","-22","Early Spring","Routinely Available","Yes","High","No"
"ALSE2","","ALSE2","Alnus serrulata","hazel alder","NA (L48, CAN)","Dicot","Spring and Summer","","Green","Brown","Multiple Stem","Rapid","12","30","Moderate","Erect","None","Yes","Yes","Yes","Low","High","5.0","7.0","24","Intolerant","-23","Spring","Routinely Available","Yes","Low","No"
"ALVIC","","ALVIC","Alnus viridis ssp. crispa","mountain alder","NA (L48, AK, CAN, GL, SPM)","Dicot","Spring and Summer","Yellow","Green","Brown","Thicket Forming","Moderate","10","10","Moderate","Erect","None","Yes","Yes","No","None","High","4.8","7.0","20","Intermediate","-62","Summer","Routinely Available","Yes","Medium","No"
"ALVIS","","ALVIS","Alnus viridis ssp. sinuata","Sitka alder","NA (L48, AK, CAN)","Dicot","Spring and Summer","","Yellow-Green","Brown","Multiple Stem","Slow","10","16","Long","Erect","None","Yes","Yes","No","Low","High","5.0","7.5","10","Intermediate","-48","Summer","Routinely Available","Yes","High","No"
"ALAR","","ALAR","Alopecurus arundinaceus","creeping meadow foxtail","NA (L48, CAN)","Monocot","Spring and Summer","Yellow","Green","Black","Rhizomatous","Rapid","","3.0","Moderate","Erect","None","No","Yes","Yes","Medium","Medium","5.5","8.4","12","Intolerant","-43","Mid Spring","Routinely Available","No","Low","No"
"ALGE2","","ALGE2","Alopecurus geniculatus","water foxtail","NA (L48, AK, CAN, GL, SPM)","Monocot","Spring","Green","Green","Yellow","Stoloniferous","Moderate","","2.0","Short","Erect","None","Yes","Yes","Yes","None","High","4.0","7.5","12","Intolerant","-43","Summer","Routinely Available","No","Medium","No"
"ALPR3","","ALPR3","Alopecurus pratensis","meadow foxtail","NA (L48, AK, CAN, GL, SPM)","Monocot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Rapid","","3.0","Long","Erect","None","No","Yes","Yes","Low","High","5.8","8.0","12","Intolerant","-38","Spring","Routinely Available","No","High","No"
"AMAL2","","AMAL2","Amelanchier alnifolia","Saskatoon serviceberry","NA (L48, AK, CAN)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Moderate","15","15","Short","Erect","None","Yes","Yes","Yes","Low","Medium","4.8","8.4","24","Intermediate","-62","Early Summer","Routinely Available","Yes","High","Yes"
"AMCA4","","AMCA4","Amelanchier canadensis","Canadian serviceberry","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Purple","Multiple Stem","Moderate","20","23","Long","Erect","None","Yes","Yes","Yes","Low","Medium","5.5","7.5","20","Intermediate","-33","Mid Spring","Routinely Available","Yes","High","Yes"
"AMUT","","AMUT","Amelanchier utahensis","Utah serviceberry","NA (L48)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Rapid","10","15","Long","Erect","None","Yes","Yes","Yes","High","Medium","5.6","8.4","24","Intermediate","-28","Late Spring","Routinely Available","Yes","High","Yes"
"AMAR4","","AMAR4","Ammophila arenaria","European beachgrass","NA (L48, CAN), HI","Monocot","Spring and Fall","Yellow","Green","Brown","Rhizomatous","Moderate","","2.0","Moderate","Erect","None","Yes","Yes","No","Medium","Medium","6.0","8.5","20","Intolerant","7","Spring","Routinely Available","No","Low","No"
"AMBR","","AMBR","Ammophila breviligulata","American beachgrass","NA (L48, CAN, SPM)","Monocot","Spring, Summer, Fall","Yellow","Green","Brown","Rhizomatous","Rapid","","2.5","Moderate","Erect","None","Yes","Yes","No","Medium","Medium","5.8","7.8","20","Intolerant","-28","Spring","Routinely Available","No","","No"
"AMCA6","","AMCA6","Amorpha canescens","leadplant","NA (L48, CAN)","Dicot","Spring and Summer","Purple","Green","Brown","Multiple Stem","Moderate","4","4.0","Long","Semi-Erect","None","Yes","Yes","No","High","Low","5.5","8.0","20","Tolerant","-38","Early Summer","Routinely Available","Yes","Medium","No"
"AMFR","","AMFR","Amorpha fruticosa","false indigo bush","NA (L48, CAN)","Dicot","Spring and Summer","Purple","Green","Brown","Multiple Stem","Slow","6","15","Moderate","Climbing","Slight","Yes","Yes","No","Medium","Low","5.0","8.5","24","Intolerant","-38","Late Spring","Routinely Available","Yes","Medium","No"
"ANCO30","","ANCO30","Ananas comosus","pineapple","NA (L48), PR","Monocot","Spring and Summer","Green","Green","Orange","Bunch","Slow","","3.0","Moderate","Vase","None","Yes","Yes","Yes","Medium","Medium","4.0","6.0","24","Tolerant","32","Indeterminate","Routinely Available","Yes","High","No"
"ANIN","","ANIN","Andira inermis","cabbagebark tree","NA (L48), PR, VI","Dicot","Year Round","White","Green","Brown","Single Stem","Rapid","120","90","Long","Irregular","Moderate","Yes","Yes","No","Medium","Low","","","36","Intolerant","32","Summer","Routinely Available","Yes","High","No"
"ANGE","","ANGE","Andropogon gerardii","big bluestem","NA (L48, CAN)","Monocot","Summer","Yellow","Green","Brown","Bunch","Moderate","","6.0","Long","Erect","None","Yes","Yes","Yes","High","Low","6.0","7.5","20","Intolerant","-46","Summer","Routinely Available","No","Low","No"
"ANGL2","","ANGL2","Andropogon glomeratus","bushy bluestem","NA (L48), HI, PR, VI","Monocot","Summer","White","Green","Brown","Bunch","Moderate","","6.3","Moderate","Erect","None","Yes","Yes","Yes","Low","High","5.0","6.3","12","Intolerant","-23","Late Summer","Routinely Available","No","High","No"
"ANHA","","ANHA","Andropogon hallii","sand bluestem","NA (L48, CAN)","Monocot","Summer","Yellow","Green","Brown","Bunch","Moderate","","6.1","Moderate","Erect","None","Yes","No","No","High","Medium","5.6","8.4","20","Intolerant","-38","Mid Summer","Routinely Available","No","Medium","No"
"ANVI2","","ANVI2","Andropogon virginicus","broomsedge bluestem","NA (L48, CAN), HI, PR","Monocot","Summer","Yellow","Green","Brown","Bunch","Slow","","3.0","Moderate","Erect","None","No","Yes","Yes","High","Medium","4.9","7.0","14","Intolerant","-18","Late Spring","Routinely Available","No","Low","No"
"ANCA10","","ANCA10","Anemopsis californica","yerba mansa","NA (L48)","Dicot","Spring and Summer","White","Green","Brown","Rhizomatous","Moderate","","1.5","Long","Erect","None","No","Yes","Yes","None","High","6.5","9.0","6","Intolerant","22","Early Spring","Routinely Available","No","Medium","No"
"ANAR3","","ANAR3","Angelica arguta","Lyall's angelica","NA (L48, AK, CAN)","Dicot","Summer","White","Green","Brown","Single Crown","Rapid","","6.0","Moderate","Erect","None","No","Yes","Yes","Low","High","6.5","7.5","10","Intermediate","-18","Mid Spring","Routinely Available","No","Medium","No"
"ANMU2","","ANMU2","Annona muricata","soursop","NA (L48), PR, VI","Dicot","Year Round","Yellow","Green","Green","Single Stem","Moderate","20","20","Short","Erect","None","Yes","Yes","Yes","Medium","Medium","5.0","7.0","60","Intermediate","17","Summer","Routinely Available","Yes","","No"
"ANRE","","ANRE","Annona reticulata","custard apple","PR, VI","Dicot","Year Round","Green","Green","Red","Single Crown","","26","20","Short","Irregular","None","Yes","No","No","Medium","","","","36","Intolerant","40","Summer","Routinely Available","Yes","Medium","Yes"
"ANSQ","","ANSQ","Annona squamosa","sugar apple","NA (L48), PR, VI","Dicot","Summer and Fall","Yellow","Green","Green","Single Crown","","30","20","Short","Rounded","Slight","Yes","Yes","No","High","","","","24","Intolerant","27","Summer","Routinely Available","Yes","Medium","Yes"
"APAM","","APAM","Apios americana","groundnut","NA (L48, CAN)","Dicot","Spring and Summer","Purple","Green","Brown","Single Crown","Rapid","","1.0","Moderate","Climbing","None","Yes","Yes","Yes","Low","Medium","6.0","7.5","8","Tolerant","-23","Late Spring","Routinely Available","No","Medium","Yes"
"AQCO","","AQCO","Aquilegia coerulea","Colorado blue columbine","NA (L48)","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQCO","AQCA2","AQCA2","Aquilegia caerulea","","","","Spring and Summer","Blue","Green","Brown","Single Crown","Moderate","","2.0","Short","Erect","None","Yes","Yes","No","Low","Medium","6.2","8.4","10","Tolerant","-28","Late Spring","Routinely Available","No","Medium","No"
"ARSP2","","ARSP2","Aralia spinosa","devil's walkingstick","NA (L48)","Dicot","Spring and Summer","White","Green","Black","Multiple Stem","Moderate","20","20","Moderate","Erect","Slight","Yes","Yes","Yes","Low","High","4.8","6.6","30","Intolerant","-25","Early Summer","Routinely Available","Yes","Medium","No"
"ARME","","ARME","Arbutus menziesii","Pacific madrone","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Red","Single Stem","Slow","25","80","Long","Rounded","None","Yes","Yes","No","High","Low","4.5","7.4","24","Intermediate","13","Mid Spring","Routinely Available","Yes","Low","No"
"ARNE","","ARNE","Arctostaphylos nevadensis","pinemat manzanita","NA (L48)","Dicot","Spring and Summer","White","Green","Red","Stoloniferous","Slow","2","2.0","Long","Decumbent","None","Yes","Yes","No","High","Low","6.0","8.4","30","Tolerant","-13","Early Summer","Routinely Available","Yes","Low","No"
"ARPA6","","ARPA6","Arctostaphylos patula","greenleaf manzanita","NA (L48)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Slow","5","6.0","Long","Semi-Erect","None","Yes","Yes","No","High","Medium","5.5","7.6","20","Intermediate","-28","Late Spring","Routinely Available","Yes","Low","No"
"ARUV","","ARUV","Arctostaphylos uva-ursi","kinnikinnick","NA (L48, AK, CAN, GL, SPM)","Dicot","Spring and Summer","Purple","Dark Green","Red","Multiple Stem","Moderate","","0.5","Long","Prostrate","None","Yes","Yes","No","High","Low","5.5","8.0","10","Intermediate","-33","Late Spring","Routinely Available","Yes","Low","No"
"ARPLP","","ARPLP","Argemone pleiacantha ssp. pinnatisecta","southwestern pricklypoppy","NA (L48)","Dicot","Spring, Summer, Fall","White","Green","Brown","Single Crown","Moderate","","0.6","Short","Decumbent","None","Yes","Yes","No","High","Low","7.0","9.0","16","Intolerant","7","Indeterminate","Routinely Available","No","Medium","No"
"ARAN7","","ARAN7","Argentina anserina","silverweed cinquefoil","NA (L48, AK, CAN, SPM)","Dicot","Spring and Summer","Yellow","Green","Brown","Stoloniferous","Rapid","","0.5","Short","Decumbent","None","Yes","Yes","Yes","Low","High","7.0","8.0","6","Tolerant","-23","Spring","Routinely Available","Yes","High","No"
"ARTR","","ARTR","Arisaema triphyllum","Jack in the pulpit","NA (L48, CAN)","Monocot","Spring and Summer","White","Green","Red","Rhizomatous","Moderate","","1.5","Moderate","Erect","Slight","Yes","Yes","No","Low","High","4.8","7.0","8","Tolerant","-18","Early Summer","Routinely Available","Yes","Low","No"
"ARMA6","","ARMA6","Armeria maritima","thrift seapink","NA (L48, AK, CAN, GL)","Dicot","Spring, Summer, Fall","Purple","Dark Green","Brown","Bunch","Moderate","","0.9","Moderate","Erect","None","Yes","Yes","No","Low","Medium","4.7","7.5","10","Intolerant","-28","Late Spring","Routinely Available","Yes","Low","No"
"ARAR7","","ARAR7","Aronia arbutifolia","red chokeberry","NA (L48, CAN)","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARAR7","PHPY4","PHPY4","Photinia pyrifolia","","","","Spring and Summer","White","Green","Red","Colonizing","Moderate","5","5.0","Moderate","Erect","None","No","Yes","Yes","Low","High","5.5","7.5","20","Intolerant","-18","Mid Spring","Routinely Available","Yes","Low","No"
"ARCA13","","ARCA13","Artemisia cana","silver sagebrush","NA (L48, AK, CAN)","Dicot","Spring, Summer, Fall","Yellow","Gray-Green","Brown","Rhizomatous","Moderate","5","5.0","Long","Erect","None","Yes","Yes","Yes","High","Low","5.2","9.0","20","Intolerant","-43","Late Summer","Routinely Available","Yes","Medium","No"
"ARFR4","","ARFR4","Artemisia frigida","prairie sagewort","NA (L48, AK, CAN)","Dicot","Spring and Fall","White","Gray-Green","White","Rhizomatous","Rapid","","2.0","Short","Rounded","None","Yes","Yes","Yes","High","Low","7.0","9.0","8","Intermediate","-43","Summer","Routinely Available","Yes","High","No"
"ARLU","","ARLU","Artemisia ludoviciana","white sagebrush","NA (L48, CAN)","Dicot","Spring and Summer","White","White-Gray","White","Rhizomatous","Moderate","","3.0","Short","Erect","None","Yes","Yes","No","High","Low","6.0","9.0","8","Intolerant","-33","Early Spring","Routinely Available","Yes","High","No"
"ARNO4","","ARNO4","Artemisia nova","black sagebrush","NA (L48)","Dicot","Spring and Summer","Brown","Green","Brown","Multiple Stem","Moderate","2","2.0","Long","Decumbent","None","Yes","Yes","Yes","High","Low","7.0","8.5","10","Intolerant","-23","Late Summer","Routinely Available","Yes","Medium","No"
"ARTI","","ARTI","Artemisia tilesii","Tilesius' wormwood","NA (L48, AK, CAN)","Dicot","","Yellow","Green","Brown","Rhizomatous","Moderate","54","36","Short","Erect","Moderate","Yes","No","No","Low","Medium","5.0","7.5","12","Tolerant","-62","Summer","Routinely Available","Yes","Medium","Yes"
"ARTR2","","ARTR2","Artemisia tridentata","big sagebrush","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Slow","3","4.0","Long","Semi-Erect","None","No","Yes","No","High","Medium","6.0","8.2","20","Intolerant","-43","Mid Summer","Routinely Available","Yes","Low","No"
"ARTRT","","ARTRT","Artemisia tridentata ssp. tridentata","basin big sagebrush","NA (L48, CAN)","Dicot","Spring and Summer","Green","Gray-Green","White","Multiple Stem","Slow","9","9.0","Moderate","Rounded","None","Yes","Yes","Yes","High","Low","6.5","8.5","16","Intolerant","-13","Late Summer","Routinely Available","Yes","Medium","No"
"ARTRV","","ARTRV","Artemisia tridentata ssp. vaseyana","mountain big sagebrush","NA (L48, CAN)","Dicot","Spring, Summer, Fall","","Gray-Green","Brown","Multiple Stem","Slow","5","7.0","Long","Erect","None","Yes","Yes","Yes","Medium","Low","6.0","8.5","16","Intolerant","-43","Fall","Routinely Available","Yes","Low","No"
"ARAL7","","ARAL7","Artocarpus altilis","breadfruit","PR, VI","Dicot","Year Round","Yellow","Green","Green","Single Stem","Rapid","60","60","Long","Erect","None","Yes","Yes","Yes","Low","High","4.0","7.0","60","Intermediate","17","Indeterminate","Routinely Available","Yes","","No"
